OVIS ID,OVIS Invoice,OVIS Amount,OVIS Client,OVIS Deal,Payment Received,Best Match QBO ID,Best Match DocNumber,Best Match Amount,Best Match Customer,Best Match Confidence,Match Reason
556c5060-d7ee-4859-a9fc-b3f0cdcd39ca,1771,20979,Potbelly - KTP,Potbelly - New Whole Foods - Cumming,false,160,1053,20979,Potbelly - KTP - Potbelly - New Whole Foods - Cumming,medium,"Amount matches ($20979), customer ""Potbelly - KTP - Potbelly - New Whole Foods - Cumming"" partial match"
89d1bfdd-1969-48ff-89b5-08d0d6f7b5e8,1697,25804.8,Huey Magoo's - Nilay,HM - Nilay - Jefferson ECDT,false,146,1039,12947.76,Huey Magoo's - Nilay,low,"Customer ""Huey Magoo's - Nilay"" exact match, amount differs (QBO: $12947.76, OVIS: $25804.8)"
f4aa4bd2-350f-4a2e-80e6-027cda29f1c1,1698,25804.8,Huey Magoo's - Nilay,HM - Nilay - Jefferson ECDT,false,146,1039,12947.76,Huey Magoo's - Nilay,low,"Customer ""Huey Magoo's - Nilay"" exact match, amount differs (QBO: $12947.76, OVIS: $25804.8)"
751b33d3-38ef-4208-97d4-635a82837f8d,1685,19687.5,Huey Magoo's - Nilay,HM - Cornelia Hardees,true,146,1039,12947.76,Huey Magoo's - Nilay,low,"Customer ""Huey Magoo's - Nilay"" exact match, amount differs (QBO: $12947.76, OVIS: $19687.5)"
091c8a73-1999-4ffa-8347-4f5f914bf0db,1686,19687.5,Huey Magoo's - Nilay,HM - Cornelia Hardees,true,146,1039,12947.76,Huey Magoo's - Nilay,low,"Customer ""Huey Magoo's - Nilay"" exact match, amount differs (QBO: $12947.76, OVIS: $19687.5)"
