store_no,chain_no,chain,geoaddress,geocity,geostate,geozip,geozip4,county,dma_market,dma_no,segment,subsegment,category,latitude,longitude,geoquality,yr_built,co_fr,co_fr_no,seg_no
458471,12,Pizza Hut-TR,5885 CUMMING HWY,SUGAR HILL,GA,30518,5765.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.118334,-84.075333,1BEST(Actual),2018,,,1
468316,12,Pizza Hut-TR,4685 ATLANTA HWY,LOGANVILLE,GA,30052,7470.0,WALTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.833383,-83.888107,1BEST(Actual),2019,FRANCHISE,1.0,1
459459,12,Pizza Hut-TR,4230 LAWRENCEVILLE HWY NW,LILBURN,GA,30047,3445.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.90142,-84.121807,1BEST(Actual),2019,FRANCHISE,1.0,1
458469,12,Pizza Hut-TR,1654 ATLANTA HWY NW,AUBURN,GA,30011,3641.0,BARROW,ATLANTA  GA,524,QSR,QSR,Pizza,34.009552,-83.850936,1BEST(Actual),2018,COMPANY,0.0,1
458554,12,Pizza Hut-TR,4514 N COBB PKWY,ACWORTH,GA,30101,,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,34.065584,-84.724117,1BEST(Address),2017,FRANCHISE,1.0,1
459460,12,Pizza Hut-TR,108 E MAY ST,WINDER,GA,30680,1983.0,BARROW,ATLANTA  GA,524,QSR,QSR,Pizza,33.987514,-83.716721,1BEST(Actual),2018,FRANCHISE,1.0,1
483174,12,Pizza Hut-TR,4480 S COBB DR SE,SMYRNA,GA,30080,6990.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.845216,-84.502963,1BEST(Address),2019,,,1
484489,12,Pizza Hut-TR,1550 BUFORD HWY,BUFORD,GA,30518,3666.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.097924,-84.01344,1BEST(Actual),2022,,,1
503505,12,Pizza Hut-TR,530 LAKE CENTER PKWY,CUMMING,GA,30040,2786.0,FORSYTH,ATLANTA  GA,524,QSR,QSR,Pizza,34.195677,-84.135304,1BEST(Actual),2024,,,1
482997,12,Pizza Hut-TR,2860 E WEST CONNECTOR,AUSTELL,GA,30106,6834.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.86717,-84.627734,1BEST(Actual),2020,FRANCHISE,1.0,1
478318,12,Pizza Hut-TR,8080 WELLS ST,SENOIA,GA,30276,1905.0,COWETA,ATLANTA  GA,524,QSR,QSR,Pizza,33.295237,-84.544582,1BEST(Actual),2021,,,1
313724,12,Pizza Hut-TR,4116 LENORA CHURCH RD,SNELLVILLE,GA,30039,5305.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.801754,-84.001665,1BEST(Actual),2003,COMPANY,0.0,1
299351,12,Pizza Hut-TR,2603 FREEDOM PKWY,CUMMING,GA,30041,9176.0,FORSYTH,ATLANTA  GA,524,QSR,QSR,Pizza,34.249552,-84.092022,1BEST(Actual),2002,COMPANY,0.0,1
273724,12,Pizza Hut-TR,5620 COMMERCE BLVD,ALPHARETTA,GA,30004,4183.0,FORSYTH,ATLANTA  GA,524,QSR,QSR,Pizza,34.148006,-84.250715,1BEST(Actual),2000,COMPANY,0.0,1
280861,12,Pizza Hut-TR,4168 HIGHWAY 278 NE,COVINGTON,GA,30014,2494.0,NEWTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.602385,-83.851276,1BEST(Actual),2000,FRANCHISE,1.0,1
304562,12,Pizza Hut-TR,2760 BRASELTON HWY,DACULA,GA,30019,5924.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.052257,-83.927393,1BEST(Actual),2003,FRANCHISE,1.0,1
305172,12,Pizza Hut-TR,7131 HIGHWAY 85,RIVERDALE,GA,30274,2900.0,CLAYTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.55986,-84.41455,1BEST(Actual),2002,FRANCHISE,1.0,1
298191,12,Pizza Hut-TR,7157 MOUNT ZION BLVD,JONESBORO,GA,30236,2517.0,CLAYTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.559095,-84.325322,1BEST(Actual),2002,FRANCHISE,1.0,1
276349,12,Pizza Hut-TR,3255 BUFORD HWY NE,BROOKHAVEN,GA,30329,1707.0,DE KALB,ATLANTA  GA,524,QSR,QSR,Pizza,33.842028,-84.328997,1BEST(Actual),2000,FRANCHISE,1.0,1
355531,12,Pizza Hut-TR,1575 W MCINTOSH RD,GRIFFIN,GA,30223,1715.0,SPALDING,ATLANTA  GA,524,QSR,QSR,Pizza,33.27502,-84.294685,1BEST(Actual),2007,COMPANY,0.0,1
344692,12,Pizza Hut-TR,4906 BILL GARDNER PKWY,LOCUST GROVE,GA,30248,3647.0,HENRY,ATLANTA  GA,524,QSR,QSR,Pizza,33.35347,-84.11978,1BEST(Actual),2006,FRANCHISE,1.0,1
334121,12,Pizza Hut-TR,930 NEW HOPE RD,LAWRENCEVILLE,GA,30045,6407.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.934721,-83.956619,1BEST(Actual),2005,FRANCHISE,1.0,1
350879,12,Pizza Hut-TR,2189 SCENIC HWY N,SNELLVILLE,GA,30078,3044.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.861287,-84.019008,1BEST(Actual),2007,FRANCHISE,1.0,1
346421,12,Pizza Hut-TR,122 MERCHANTS SQUARE DR,CARTERSVILLE,GA,30121,2258.0,BARTOW,ATLANTA  GA,524,QSR,QSR,Pizza,34.197134,-84.788949,1BEST(Actual),2005,FRANCHISE,1.0,1
345432,12,Pizza Hut-TR,4920 ROSWELL RD,ATLANTA,GA,30342,2686.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.889375,-84.382879,1BEST(Actual),2006,FRANCHISE,1.0,1
327688,12,Pizza Hut-TR,4811 RIDGE RD,DOUGLASVILLE,GA,30134,,PAULDING,ATLANTA  GA,524,QSR,QSR,Pizza,33.817584,-84.812665,1BEST(Address),2004,FRANCHISE,1.0,1
333772,12,Pizza Hut-TR,2330 CANTON HWY,CUMMING,GA,30040,1995.0,FORSYTH,ATLANTA  GA,524,QSR,QSR,Pizza,34.239607,-84.195765,1BEST(Actual),2005,COMPANY,0.0,1
332436,12,Pizza Hut-TR,8876 DALLAS ACWORTH HWY,DALLAS,GA,30132,7902.0,PAULDING,ATLANTA  GA,524,QSR,QSR,Pizza,34.010309,-84.753348,1BEST(Actual),2005,FRANCHISE,1.0,1
338253,12,Pizza Hut-TR,614 BANKHEAD HWY,CARROLLTON,GA,30117,1916.0,CARROLL,ATLANTA  GA,524,QSR,QSR,Pizza,33.587914,-85.056404,1BEST(Actual),2005,COMPANY,0.0,1
339754,12,Pizza Hut-TR,2260 HOLLY SPRINGS PKWY,CANTON,GA,30115,9580.0,CHEROKEE,ATLANTA  GA,524,QSR,QSR,Pizza,34.179602,-84.504175,1BEST(Actual),2005,FRANCHISE,1.0,1
228213,12,Pizza Hut-TR,11181 TARA BLVD,HAMPTON,GA,30228,1672.0,CLAYTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.449688,-84.325624,1BEST(Address),1995,FRANCHISE,1.0,1
229231,12,Pizza Hut-TR,1529 W CHURCH ST,JASPER,GA,30143,4089.0,PICKENS,ATLANTA  GA,524,QSR,QSR,Pizza,34.465034,-84.456074,1BEST(Actual),1997,FRANCHISE,1.0,1
239046,12,Pizza Hut-TR,3245 PEACHTREE PKWY,SUWANEE,GA,30024,6054.0,FORSYTH,ATLANTA  GA,524,QSR,QSR,Pizza,34.084329,-84.159167,1BEST(Actual),1997,FRANCHISE,1.0,1
200826,12,Pizza Hut-TR,6050 SINGLETON RD,NORCROSS,GA,30093,1923.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.904011,-84.200097,1BEST(Actual),1987,FRANCHISE,1.0,1
228214,12,Pizza Hut-TR,525 PEACHTREE INDUSTRIAL BLVD,SUWANEE,GA,30024,4071.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.062779,-84.076195,1BEST(Actual),1996,COMPANY,0.0,1
228212,12,Pizza Hut-TR,250 WINDY HILL RD SE,MARIETTA,GA,30060,5556.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.893907,-84.552446,1BEST(Actual),1985,FRANCHISE,1.0,1
234209,12,Pizza Hut-TR,950 HERRINGTON RD,LAWRENCEVILLE,GA,30044,7217.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.940472,-84.082294,1BEST(Actual),1998,COMPANY,0.0,1
200781,12,Pizza Hut-TR,3695 CASCADE RD SW,ATLANTA,GA,30331,2173.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.724678,-84.508412,1BEST(Actual),1995,FRANCHISE,1.0,1
402381,12,Pizza Hut-TR,3176 PEACHTREE RD NE,ATLANTA,GA,30305,1853.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.841073,-84.376424,1BEST(Actual),2013,COMPANY,0.0,1
401027,12,Pizza Hut-TR,2520 E PIEDMONT RD,MARIETTA,GA,30062,1700.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,34.012958,-84.49346,1BEST(Actual),2012,FRANCHISE,1.0,1
401893,12,Pizza Hut-TR,8020 CUMMING HWY,CANTON,GA,30115,9337.0,CHEROKEE,ATLANTA  GA,524,QSR,QSR,Pizza,34.252626,-84.358402,1BEST(Actual),2012,FRANCHISE,1.0,1
376563,12,Pizza Hut-TR,5005 FLOYD RD SW,MABLETON,GA,30126,1675.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.832499,-84.575705,1BEST(Address),2009,FRANCHISE,1.0,1
407124,12,Pizza Hut-TR,2085 ATLANTA HWY SE,STATHAM,GA,30666,1852.0,BARROW,ATLANTA  GA,524,QSR,QSR,Pizza,33.957821,-83.58654,1BEST(Actual),2013,FRANCHISE,1.0,1
396198,12,Pizza Hut-TR,543 10TH ST NW,ATLANTA,GA,30318,5713.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.781677,-84.40511,1BEST(Address),2012,FRANCHISE,1.0,1
401942,12,Pizza Hut-TR,1660 HIGHWAY 81 E,MCDONOUGH,GA,30252,3032.0,HENRY,ATLANTA  GA,524,QSR,QSR,Pizza,33.428163,-84.097927,1BEST(Address),2012,FRANCHISE,1.0,1
401941,12,Pizza Hut-TR,25 PIEDMONT AVE NE,ATLANTA,GA,30303,2505.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.755239,-84.381977,1BEST(Actual),2013,FRANCHISE,1.0,1
396578,12,Pizza Hut-TR,2300 HOLCOMB BRIDGE RD,ROSWELL,GA,30076,3481.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,34.004724,-84.295139,1BEST(Actual),2011,FRANCHISE,1.0,1
386194,12,Pizza Hut-TR,11 LEGACY WAY,ADAIRSVILLE,GA,30103,2464.0,BARTOW,ATLANTA  GA,524,QSR,QSR,Pizza,34.371622,-84.929664,1BEST(Address),2011,FRANCHISE,1.0,1
392677,12,Pizza Hut-TR,2244 HENDERSON MILL RD NE,ATLANTA,GA,30345,2760.0,DE KALB,ATLANTA  GA,524,QSR,QSR,Pizza,33.849866,-84.258274,1BEST(Actual),2011,COMPANY,0.0,1
112054,12,Pizza Hut-TR,4814 STONE MOUNTAIN HWY,LILBURN,GA,30047,4654.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.827397,-84.095298,1BEST(Actual),1987,FRANCHISE,1.0,1
112014,12,Pizza Hut-TR,6055 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,4325.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.590525,-84.470097,1BEST(Actual),1984,COMPANY,0.0,1
112018,12,Pizza Hut-TR,425 SIGMAN RD NW,CONYERS,GA,30012,3635.0,ROCKDALE,ATLANTA  GA,524,QSR,QSR,Pizza,33.684852,-84.001337,1BEST(Actual),1974,FRANCHISE,1.0,1
112021,12,Pizza Hut-TR,4221 BELLS FERRY RD NW,KENNESAW,GA,30144,1372.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,34.05412,-84.55711,1BEST(Actual),1985,FRANCHISE,1.0,1
112028,12,Pizza Hut-TR,3217 NEW MACLAND RD,POWDER SPRINGS,GA,30127,1793.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.874909,-84.675254,1BEST(Actual),1989,FRANCHISE,1.0,1
112031,12,Pizza Hut-TR,5636 FAIRBURN RD,DOUGLASVILLE,GA,30134,2560.0,DOUGLAS,ATLANTA  GA,524,QSR,QSR,Pizza,33.750468,-84.71941,1BEST(Actual),1987,FRANCHISE,1.0,1
112041,12,Pizza Hut-TR,5656 JONESBORO RD,LAKE CITY,GA,30260,3853.0,CLAYTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.60065,-84.33721,1BEST(Actual),1992,FRANCHISE,1.0,1
112042,12,Pizza Hut-TR,4715 JONESBORO RD,UNION CITY,GA,30291,1915.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.569643,-84.541,1BEST(Actual),1980,COMPANY,,1
112061,12,Pizza Hut-TR,8290 ROSWELL RD,DUNWOODY,GA,30350,6452.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.981236,-84.351122,1BEST(Actual),1989,FRANCHISE,1.0,1
112053,12,Pizza Hut-TR,2980 COBB PKWY SE,ATLANTA,GA,30339,3158.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.880037,-84.461605,1BEST(Actual),1994,FRANCHISE,1.0,1
112059,12,Pizza Hut-TR,661 HOLCOMB BRIDGE RD,ROSWELL,GA,30076,1511.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,34.033223,-84.341698,1BEST(Address),1985,COMPANY,0.0,1
112013,12,Pizza Hut-TR,4957 WINTERS CHAPEL RD,DORAVILLE,GA,30360,1732.0,DE KALB,ATLANTA  GA,524,QSR,QSR,Pizza,33.941355,-84.270072,1BEST(Actual),1993,FRANCHISE,1.0,1
112024,12,Pizza Hut-TR,4286 CHAMBLEE TUCKER RD,TUCKER,GA,30084,2103.0,DE KALB,ATLANTA  GA,524,QSR,QSR,Pizza,33.881714,-84.220243,1BEST(Actual),1985,COMPANY,0.0,1
112048,12,Pizza Hut-TR,5070 CHEROKEE ST,ACWORTH,GA,30101,,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,34.073724,-84.679505,1BEST(Address),1986,COMPANY,0.0,1
111952,12,Pizza Hut-TR,500 NATHAN DEAN BLVD,DALLAS,GA,30157,4910.0,PAULDING,ATLANTA  GA,524,QSR,QSR,Pizza,33.908087,-84.825235,1BEST(Actual),1987,FRANCHISE,1.0,1
112030,12,Pizza Hut-TR,2850 LAWRENCEVILLE SUWANEE RD,SUWANEE,GA,30024,2954.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.023388,-84.045024,1BEST(Actual),1987,FRANCHISE,1.0,1
112003,12,Pizza Hut-TR,811 E 3RD ST,JACKSON,GA,30233,2110.0,BUTTS,ATLANTA  GA,524,QSR,QSR,Pizza,33.29479,-83.95677,1BEST(Actual),1987,FRANCHISE,1.0,1
111923,12,Pizza Hut-TR,124 JEFFERSON ST,NEWNAN,GA,30263,1421.0,COWETA,ATLANTA  GA,524,QSR,QSR,Pizza,33.382442,-84.795439,1BEST(Actual),1958,FRANCHISE,1.0,1
111942,12,Pizza Hut-TR,3600 CHEROKEE ST NW,KENNESAW,GA,30144,2027.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,34.046441,-84.599799,1BEST(Actual),1990,FRANCHISE,1.0,1
111953,12,Pizza Hut-TR,4075 CHARLES HARDY PKWY,DALLAS,GA,30157,3315.0,PAULDING,ATLANTA  GA,524,QSR,QSR,Pizza,33.93567,-84.72601,1BEST(Actual),1992,FRANCHISE,1.0,1
111957,12,Pizza Hut-TR,5485 PEACHTREE INDUSTRIAL BLVD,CHAMBLEE,GA,30341,,DE KALB,ATLANTA  GA,524,QSR,QSR,Pizza,33.89721,-84.302807,1BEST(Address),1976,FRANCHISE,1.0,1
111965,12,Pizza Hut-TR,4491 N HENRY BLVD,STOCKBRIDGE,GA,30281,3656.0,HENRY,ATLANTA  GA,524,QSR,QSR,Pizza,33.543334,-84.226573,1BEST(Actual),1991,FRANCHISE,1.0,1
111970,12,Pizza Hut-TR,3697 HIGHWAY 5,DOUGLASVILLE,GA,30135,6901.0,DOUGLAS,ATLANTA  GA,524,QSR,QSR,Pizza,33.706715,-84.778197,1BEST(Actual),1994,FRANCHISE,1.0,1
111975,12,Pizza Hut-TR,1386 ROSWELL RD,MARIETTA,GA,30062,3613.0,COBB,ATLANTA  GA,524,QSR,QSR,Pizza,33.950484,-84.512277,1BEST(Actual),1993,FRANCHISE,1.0,1
111976,12,Pizza Hut-TR,1164 LAWRENCEVILLE HWY,LAWRENCEVILLE,GA,30046,4710.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,33.938243,-84.018123,1BEST(Actual),1988,COMPANY,0.0,1
112002,12,Pizza Hut-TR,3504 HIGHWAY 20 SE,CONYERS,GA,30013,2877.0,ROCKDALE,ATLANTA  GA,524,QSR,QSR,Pizza,33.595707,-84.014506,1BEST(Address),1988,COMPANY,0.0,1
111985,12,Pizza Hut-TR,12050 HIGHWAY 92,WOODSTOCK,GA,30188,4287.0,CHEROKEE,ATLANTA  GA,524,QSR,QSR,Pizza,34.087379,-84.485583,1BEST(Actual),1993,FRANCHISE,1.0,1
111987,12,Pizza Hut-TR,8411 HIGHWAY 85,RIVERDALE,GA,30274,4192.0,CLAYTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.52635,-84.42268,1BEST(Actual),1992,FRANCHISE,1.0,1
111998,12,Pizza Hut-TR,10945 STATE BRIDGE RD,ALPHARETTA,GA,30022,8164.0,FULTON,ATLANTA  GA,524,QSR,QSR,Pizza,34.04965,-84.223102,1BEST(Actual),1992,FRANCHISE,1.0,1
111988,12,Pizza Hut-TR,3175 BUFORD HWY,DULUTH,GA,30096,6704.0,GWINNETT,ATLANTA  GA,524,QSR,QSR,Pizza,34.000321,-84.145931,1BEST(Actual),1991,FRANCHISE,1.0,1
111924,12,Pizza Hut-TR,1117 W SPRING ST,MONROE,GA,30655,1754.0,WALTON,ATLANTA  GA,524,QSR,QSR,Pizza,33.792486,-83.732598,1BEST(Actual),1978,FRANCHISE,1.0,1
