store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
285370,B+,126.0,5418.0,C,OUTBAC(B/C),OUTBAC(B<C),100.0,2023.0,,1.0,,C,OUTBAC(C),97.0,3782.0,C,OUTBAC(C/C),100.0,2016.0,,1.0,2024
493755,,,,,OUTBAC,OUTBAC,,,,,,,OUTBAC,,,,OUTBAC,,,,,2024
334470,C-,92.0,3956.0,D+,OUTBAC(C/D),OUTBAC(C<C),89.0,2023.0,2022.0,4.0,,C,OUTBAC(C),96.0,3743.0,D+,OUTBAC(C/D),87.0,2020.0,2018.0,3.0,2024
196611,C,95.0,4085.0,C-,OUTBAC(C/C),OUTBAC(C<C),93.0,2022.0,2021.0,2.0,,C-,OUTBAC(C),94.0,3665.0,D+,OUTBAC(C/D),85.0,2019.0,2016.0,3.0,2024
196609,B,120.0,5160.0,B,OUTBAC(B/B),OUTBAC(B<A),115.0,2024.0,2022.0,4.0,,A-,OUTBAC(A),132.0,5147.0,B,OUTBAC(A/B),121.0,2020.0,2019.0,5.0,2024
196610,A,144.0,6192.0,B+,OUTBAC(A/B),OUTBAC(A<A),128.0,2023.0,,1.0,,A-,OUTBAC(A),132.0,5147.0,B,OUTBAC(A/B),120.0,2018.0,2015.0,2.0,2024
488253,F,56.0,2751.0,D-,CHANG(F/D),CHANG(F<-),73.0,2024.0,,1.0,,,CHANG,,,,CHANG,,,,,2024
288291,D,78.0,3831.0,D,CHANG(D/D),CHANG(D<D),78.0,2023.0,2021.0,2.0,,D,CHANG(D),83.0,3675.0,D+,CHANG(D/D),86.0,2019.0,2018.0,5.0,2024
287133,D,83.0,4077.0,C-,CHANG(D/C),CHANG(D<D),93.0,2024.0,2023.0,5.0,,D+,CHANG(D),87.0,3852.0,C-,CHANG(D/C),90.0,2020.0,2019.0,5.0,2024
345345,C,99.0,4863.0,C,CHANG(C/C),CHANG(C<C),101.0,2023.0,2021.0,2.0,,C,CHANG(C),104.0,4605.0,C+,CHANG(C/C),108.0,2019.0,2018.0,5.0,2024
404831,A+,203.0,9971.0,A+,CHANG(A/A),CHANG(A<A),192.0,2023.0,,1.0,,A+,CHANG(A),194.0,8590.0,A+,CHANG(A/A),187.0,2016.0,,1.0,2024
358928,F,58.0,2849.0,C,CHANG(F/C),CHANG(F<F),100.0,2022.0,,1.0,,F,CHANG(F),58.0,2568.0,C,CHANG(F/C),100.0,2019.0,2017.0,2.0,2024
342710,,,,,CHANG,CHANG,,,,,,D,CHANG(D),81.0,3587.0,C,CHANG(D/C),100.0,2018.0,2015.0,2.0,2024
248356,C,98.0,5503.0,C,PALM(C/C),PALM(C<D),100.0,2023.0,2022.0,2.0,,D,PALM(D),79.0,4211.0,C,PALM(D/C),100.0,2016.0,,1.0,2024
491427,D,75.0,1898.0,D-,PANDA(D/D),PANDA(D<-),73.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491426,F,62.0,1569.0,C,PANDA(F/C),PANDA(F<-),98.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491435,F,63.0,1595.0,D,PANDA(F/D),PANDA(F<-),80.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
496599,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492020,C,101.0,2556.0,C-,PANDA(C/C),PANDA(C<-),93.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
495730,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491425,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492019,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491430,D-,74.0,1873.0,D-,PANDA(D/D),PANDA(D<-),72.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
495723,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
496596,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491431,D+,87.0,2202.0,D+,PANDA(D/D),PANDA(D<-),85.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
499329,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492021,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492018,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491434,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492017,A+,145.0,3670.0,A,PANDA(A/A),PANDA(A<-),140.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491440,C,101.0,2556.0,C,PANDA(C/C),PANDA(C<-),98.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
492016,D+,88.0,2227.0,D+,PANDA(D/D),PANDA(D<-),85.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
492015,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491442,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492014,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491432,A,135.0,3417.0,B+,PANDA(A/B),PANDA(A<-),126.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491395,A+,152.0,3847.0,A+,PANDA(A/A),PANDA(A<-),147.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
494076,F,41.0,1038.0,F,PANDA(F/F),PANDA(F<-),39.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491400,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491399,D-,73.0,1848.0,D-,PANDA(D/D),PANDA(D<-),71.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491398,A+,153.0,3872.0,A+,PANDA(A/A),PANDA(A<-),149.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491546,D,82.0,2075.0,D,PANDA(D/D),PANDA(D<-),79.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
492022,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491396,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
494077,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491394,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491393,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491392,D,77.0,1949.0,D,PANDA(D/D),PANDA(D<-),75.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491391,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491390,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492368,D,78.0,1974.0,D-,PANDA(D/D),PANDA(D<-),73.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491397,B,115.0,2911.0,B-,PANDA(B/B),PANDA(B<-),112.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491407,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492023,D,76.0,1924.0,D-,PANDA(D/D),PANDA(D<-),73.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
491417,C+,107.0,2708.0,C,PANDA(C/C),PANDA(C<-),99.0,2023.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
492033,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
492024,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491413,,,,,PANDA,PANDA,,,,,,,PANDA,,,,PANDA,,,,,2024
491401,A,137.0,3467.0,A-,PANDA(A/A),PANDA(A<-),133.0,2024.0,,1.0,,,PANDA,,,,PANDA,,,,,2024
