store_no,curr_natl_grade,curr_natl_index,curr_annual_sls_k,curr_mkt_grade,label_cng_cmg,label_cng_lt_png,curr_mkt_index,survey_yr_last_c,survey_yr_next_c,ttl_no_surveys_c,past_yrs,past_natl_grade,label_png,past_natl_index,past_annual_sls_k,past_mkt_grade,label_png_pmg,past_mkt_index,survey_yr_last_p,survey_yr_next_p,ttl_no_surveys_p,year
487610,D-,71.0,1196.0,C,BRKEGG(D/C),BRKEGG(D<-),95.0,2024.0,,1.0,,,BRKEGG,,,,BRKEGG,,,,,2024
483494,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
416213,C,95.0,1600.0,B-,BRKEGG(C/B),BRKEGG(C<C),112.0,2022.0,2021.0,2.0,,C,BRKEGG(C),100.0,1460.0,B-,BRKEGG(C/B),111.0,2020.0,2017.0,3.0,2024
439555,D-,72.0,1212.0,C-,BRKEGG(D/C),BRKEGG(D<D),93.0,2024.0,2022.0,4.0,,D,BRKEGG(D),79.0,1153.0,D+,BRKEGG(D/D),85.0,2020.0,2019.0,2.0,2024
416208,D,78.0,1314.0,C,BRKEGG(D/C),BRKEGG(D<D),104.0,2023.0,2022.0,2.0,,D,BRKEGG(D),83.0,1212.0,C-,BRKEGG(D/C),91.0,2018.0,2017.0,3.0,2024
416238,A-,134.0,2257.0,A+,BRKEGG(A/A),BRKEGG(A<A),149.0,2022.0,,1.0,,A,BRKEGG(A),138.0,2015.0,A+,BRKEGG(A/A),149.0,2019.0,2015.0,2.0,2024
496633,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
455748,B-,112.0,1886.0,C,BRKEGG(B/C),BRKEGG(B<C),100.0,2023.0,2021.0,2.0,,C-,BRKEGG(C),91.0,1329.0,C,BRKEGG(C/C),100.0,2020.0,,1.0,2024
488898,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
499694,,,,,BRKEGG,BRKEGG,,,,,,,BRKEGG,,,,BRKEGG,,,,,2024
421344,B-,111.0,1869.0,C,BRKEGG(B/C),BRKEGG(B<D),100.0,2024.0,2021.0,2.0,,D,BRKEGG(D),84.0,1226.0,C,BRKEGG(D/C),98.0,2020.0,2016.0,2.0,2024
319253,,,,,APPLEB,APPLEB,,,,,,D,APPLEB(D),82.0,2096.0,C-,APPLEB(D/C),93.0,2016.0,,1.0,2024
191396,C+,109.0,3096.0,B-,APPLEB(C/B),APPLEB(C<B),111.0,2022.0,,1.0,,B,APPLEB(B),116.0,2965.0,B,APPLEB(B/B),116.0,2019.0,2016.0,3.0,2024
232776,D,80.0,2272.0,C-,APPLEB(D/C),APPLEB(D<D),93.0,2022.0,,1.0,,D,APPLEB(D),83.0,2121.0,C,APPLEB(D/C),98.0,2019.0,2018.0,3.0,2024
232777,D-,70.0,1988.0,C-,APPLEB(D/C),APPLEB(D<D),92.0,2023.0,2021.0,2.0,,D,APPLEB(D),75.0,1917.0,D+,APPLEB(D/D),89.0,2019.0,2018.0,4.0,2024
242561,D,84.0,2386.0,C,APPLEB(D/C),APPLEB(D<C),96.0,2024.0,2023.0,5.0,,C,APPLEB(C),96.0,2454.0,B-,APPLEB(C/B),114.0,2020.0,2019.0,5.0,2024
249755,F,69.0,1960.0,C-,APPLEB(F/C),APPLEB(F<D),91.0,2024.0,2023.0,4.0,,D-,APPLEB(D),74.0,1891.0,D+,APPLEB(D/D),89.0,2020.0,2018.0,3.0,2024
408387,,,,,APPLEB,APPLEB,,,,,,C-,APPLEB(C),94.0,2403.0,C+,APPLEB(C/C),107.0,2018.0,,1.0,2024
191399,C+,108.0,3067.0,A-,APPLEB(C/A),APPLEB(C<C),132.0,2024.0,2021.0,2.0,,C,APPLEB(C),104.0,2658.0,B+,APPLEB(C/B),125.0,2019.0,2017.0,3.0,2024
314836,F,68.0,1931.0,D,APPLEB(F/D),APPLEB(F<B),78.0,2023.0,2021.0,2.0,,B-,APPLEB(B),110.0,2812.0,B,APPLEB(B/B),124.0,2020.0,2015.0,2.0,2024
276431,F,69.0,1960.0,D,APPLEB(F/D),APPLEB(F<D),79.0,2024.0,2023.0,4.0,,D,APPLEB(D),77.0,1968.0,D+,APPLEB(D/D),87.0,2020.0,2019.0,5.0,2024
277322,D,79.0,2244.0,C-,APPLEB(D/C),APPLEB(D<D),93.0,2024.0,2023.0,3.0,,D-,APPLEB(D),71.0,1815.0,D,APPLEB(D/D),81.0,2019.0,2018.0,3.0,2024
316026,,,,,APPLEB,APPLEB,,,,,,D,APPLEB(D),84.0,2147.0,C,APPLEB(D/C),96.0,2018.0,2015.0,2.0,2024
292265,B,121.0,3436.0,A,APPLEB(B/A),APPLEB(B<B),143.0,2024.0,2021.0,2.0,,B,APPLEB(B),117.0,2991.0,A-,APPLEB(B/A),132.0,2019.0,,1.0,2024
270325,D,76.0,2158.0,D+,APPLEB(D/D),APPLEB(D<D),87.0,2023.0,2022.0,3.0,,D,APPLEB(D),81.0,2070.0,C-,APPLEB(D/C),92.0,2020.0,2017.0,4.0,2024
302400,B,121.0,3436.0,A-,APPLEB(B/A),APPLEB(B<B),134.0,2023.0,2022.0,3.0,,B,APPLEB(B),121.0,3093.0,A,APPLEB(B/A),138.0,2020.0,2018.0,5.0,2024
302380,D,81.0,2300.0,C-,APPLEB(D/C),APPLEB(D<D),93.0,2024.0,2023.0,3.0,,D,APPLEB(D),82.0,2096.0,C-,APPLEB(D/C),93.0,2020.0,2018.0,4.0,2024
348621,D,75.0,2130.0,D+,APPLEB(D/D),APPLEB(D<C),86.0,2024.0,2022.0,3.0,,C-,APPLEB(C),91.0,2326.0,C,APPLEB(C/C),103.0,2019.0,2016.0,2.0,2024
334327,D-,70.0,1988.0,D,APPLEB(D/D),APPLEB(D<D),78.0,2023.0,,1.0,,D,APPLEB(D),84.0,2147.0,C,APPLEB(D/C),95.0,2016.0,2015.0,2.0,2024
190941,,,,,APPLEB,APPLEB,,,,,,C,APPLEB(C),100.0,2556.0,B-,APPLEB(C/B),114.0,2018.0,2016.0,2.0,2024
191229,D,78.0,2215.0,D+,APPLEB(D/D),APPLEB(D<D),86.0,2022.0,,1.0,,D+,APPLEB(D),88.0,2249.0,C,APPLEB(D/C),100.0,2019.0,2016.0,2.0,2024
191228,B,121.0,3436.0,A-,APPLEB(B/A),APPLEB(B<C),132.0,2022.0,,1.0,,C+,APPLEB(C),106.0,2709.0,B,APPLEB(C/B),120.0,2020.0,2017.0,3.0,2024
191225,D-,72.0,2045.0,D,APPLEB(D/D),APPLEB(D<C),83.0,2024.0,2023.0,3.0,,C,APPLEB(C),102.0,2607.0,B,APPLEB(C/B),116.0,2018.0,2017.0,2.0,2024
191224,,,,,APPLEB,APPLEB,,,,,,D-,APPLEB(D),74.0,1891.0,D,APPLEB(D/D),84.0,2018.0,2017.0,4.0,2024
191239,F,51.0,1448.0,F,APPLEB(F/F),APPLEB(F<F),59.0,2024.0,2022.0,2.0,,F,APPLEB(F),63.0,1610.0,D-,APPLEB(F/D),72.0,2017.0,2015.0,2.0,2024
191238,D+,86.0,2442.0,C,APPLEB(D/C),APPLEB(D<C),98.0,2024.0,2022.0,4.0,,C,APPLEB(C),95.0,2428.0,C+,APPLEB(C/C),107.0,2020.0,2019.0,5.0,2024
191240,F,66.0,1874.0,D,APPLEB(F/D),APPLEB(F<-),76.0,2024.0,2022.0,2.0,,,APPLEB,,,,APPLEB,,,,,2024
191243,C,96.0,2726.0,C+,APPLEB(C/C),APPLEB(C<D),109.0,2024.0,2023.0,4.0,,D+,APPLEB(D),86.0,2198.0,C,APPLEB(D/C),97.0,2020.0,2016.0,2.0,2024
191232,C,95.0,2698.0,C+,APPLEB(C/C),APPLEB(C<A),107.0,2023.0,2022.0,3.0,,A+,APPLEB(A),146.0,3732.0,A+,APPLEB(A/A),165.0,2017.0,2016.0,2.0,2024
198958,C,96.0,2726.0,C+,APPLEB(C/C),APPLEB(C<D),107.0,2023.0,2021.0,2.0,,D,APPLEB(D),78.0,1994.0,D+,APPLEB(D/D),89.0,2019.0,2017.0,3.0,2024
232766,F,66.0,1874.0,D-,APPLEB(F/D),APPLEB(F<C),73.0,2023.0,2022.0,3.0,,C-,APPLEB(C),90.0,2300.0,C,APPLEB(C/C),101.0,2019.0,2018.0,3.0,2024
249721,A+,155.0,4402.0,A+,APPLEB(A/A),APPLEB(A<A),178.0,2024.0,2022.0,5.0,,A+,APPLEB(A),149.0,3808.0,A+,APPLEB(A/A),168.0,2020.0,2019.0,3.0,2024
191233,D+,87.0,2471.0,C,APPLEB(D/C),APPLEB(D<D),97.0,2022.0,,1.0,,D+,APPLEB(D),87.0,2224.0,C,APPLEB(D/C),98.0,2019.0,2018.0,4.0,2024
249738,D+,88.0,2499.0,C,APPLEB(D/C),APPLEB(D<D),101.0,2024.0,2022.0,2.0,,D+,APPLEB(D),87.0,2224.0,C,APPLEB(D/C),99.0,2018.0,2016.0,3.0,2024
249747,C-,90.0,2556.0,C,APPLEB(C/C),APPLEB(C<D),102.0,2023.0,2022.0,4.0,,D,APPLEB(D),82.0,2096.0,C-,APPLEB(D/C),93.0,2020.0,2019.0,4.0,2024
424986,F,69.0,1960.0,D-,APPLEB(F/D),APPLEB(F<D),74.0,2022.0,,1.0,,D,APPLEB(D),76.0,1943.0,D+,APPLEB(D/D),87.0,2018.0,2015.0,2.0,2024
420960,D-,73.0,2073.0,D,APPLEB(D/D),APPLEB(D<D),83.0,2024.0,2023.0,4.0,,D,APPLEB(D),77.0,1968.0,D+,APPLEB(D/D),87.0,2019.0,2017.0,3.0,2024
424984,D+,85.0,2414.0,C,APPLEB(D/C),APPLEB(D<F),97.0,2024.0,2022.0,4.0,,F,APPLEB(F),60.0,1534.0,F,APPLEB(F/F),68.0,2020.0,2019.0,3.0,2024
282343,,,,,APPLEB,APPLEB,,,,,,B,APPLEB(B),115.0,2939.0,B,APPLEB(B/B),122.0,2018.0,2017.0,4.0,2024
330281,B-,112.0,3181.0,B-,APPLEB(B/B),APPLEB(B<B),110.0,2024.0,2022.0,4.0,,B,APPLEB(B),115.0,2939.0,B+,APPLEB(B/B),125.0,2020.0,2019.0,4.0,2024
191196,D,84.0,2386.0,D+,APPLEB(D/D),APPLEB(D<D),85.0,2023.0,2022.0,4.0,,D-,APPLEB(D),70.0,1789.0,D,APPLEB(D/D),77.0,2020.0,2019.0,4.0,2024
408396,C+,106.0,3010.0,C,APPLEB(C/C),APPLEB(C<C),103.0,2023.0,2022.0,3.0,,C,APPLEB(C),99.0,2530.0,C+,APPLEB(C/C),106.0,2018.0,2016.0,4.0,2024
345521,D,81.0,2300.0,C-,APPLEB(D/C),APPLEB(D<C),90.0,2023.0,2021.0,2.0,,C,APPLEB(C),98.0,2505.0,B-,APPLEB(C/B),111.0,2019.0,2018.0,4.0,2024
345939,D,77.0,2187.0,D,APPLEB(D/D),APPLEB(D<C),82.0,2024.0,2023.0,3.0,,C,APPLEB(C),95.0,2428.0,C+,APPLEB(C/C),108.0,2018.0,,1.0,2024
191192,B,122.0,3465.0,B,APPLEB(B/B),APPLEB(B<C),121.0,2023.0,2021.0,2.0,,C,APPLEB(C),97.0,2479.0,B-,APPLEB(C/B),112.0,2020.0,2018.0,4.0,2024
191189,C,99.0,2812.0,C+,APPLEB(C/C),APPLEB(C<C),108.0,2024.0,2023.0,3.0,,C+,APPLEB(C),106.0,2709.0,B,APPLEB(C/B),121.0,2020.0,2018.0,4.0,2024
340036,B,123.0,3493.0,B-,APPLEB(B/B),APPLEB(B<B),111.0,2022.0,2021.0,3.0,,B,APPLEB(B),123.0,3144.0,A,APPLEB(B/A),136.0,2020.0,2019.0,4.0,2024
191401,D,81.0,2300.0,C-,APPLEB(D/C),APPLEB(D<-),91.0,2022.0,,1.0,,,APPLEB,,,,APPLEB,,,,,2024
214150,D,83.0,2357.0,C,APPLEB(D/C),APPLEB(D<F),95.0,2023.0,2022.0,3.0,,F,APPLEB(F),68.0,1738.0,D,APPLEB(F/D),81.0,2018.0,2017.0,5.0,2024
430897,D-,70.0,1988.0,D,APPLEB(D/D),APPLEB(D<D),77.0,2022.0,,1.0,,D+,APPLEB(D),88.0,2249.0,C,APPLEB(D/C),103.0,2020.0,2017.0,3.0,2024
220099,C+,109.0,3096.0,B,APPLEB(C/B),APPLEB(C<B),123.0,2023.0,2022.0,3.0,,B,APPLEB(B),123.0,3144.0,A,APPLEB(B/A),140.0,2020.0,2018.0,3.0,2024
346505,D,83.0,2357.0,C-,APPLEB(D/C),APPLEB(D<D),90.0,2023.0,2022.0,2.0,,D-,APPLEB(D),71.0,1815.0,D,APPLEB(D/D),81.0,2018.0,2017.0,3.0,2024
191404,C,102.0,2897.0,C,APPLEB(C/C),APPLEB(C<C),101.0,2024.0,2021.0,2.0,,C,APPLEB(C),99.0,2530.0,C+,APPLEB(C/C),106.0,2019.0,2018.0,3.0,2024
430916,D+,86.0,2442.0,D,APPLEB(D/D),APPLEB(D<D),83.0,2022.0,,1.0,,D+,APPLEB(D),86.0,2198.0,C-,APPLEB(D/C),93.0,2019.0,2018.0,3.0,2024
314837,D,81.0,2300.0,C,APPLEB(D/C),APPLEB(D<D),96.0,2023.0,2021.0,2.0,,D,APPLEB(D),80.0,2045.0,D+,APPLEB(D/D),89.0,2019.0,2017.0,3.0,2024
191393,C-,91.0,2584.0,C,APPLEB(C/C),APPLEB(C<C),99.0,2024.0,2023.0,4.0,,C-,APPLEB(C),94.0,2403.0,C,APPLEB(C/C),103.0,2020.0,2018.0,3.0,2024
191405,C,103.0,2925.0,B,APPLEB(C/B),APPLEB(C<C),118.0,2024.0,2023.0,5.0,,C-,APPLEB(C),90.0,2300.0,C+,APPLEB(C/C),106.0,2020.0,2019.0,5.0,2024
191340,F,61.0,1732.0,F,APPLEB(F/F),APPLEB(F<F),65.0,2024.0,2023.0,6.0,,F,APPLEB(F),65.0,1661.0,D-,APPLEB(F/D),72.0,2020.0,2019.0,5.0,2024
191262,D-,72.0,2045.0,D+,APPLEB(D/D),APPLEB(D<D),87.0,2022.0,,1.0,,D-,APPLEB(D),71.0,1815.0,D,APPLEB(D/D),78.0,2019.0,2018.0,5.0,2024
191347,,,,,APPLEB,APPLEB,,,,,,C,APPLEB(C),102.0,2607.0,B-,APPLEB(C/B),110.0,2018.0,2015.0,2.0,2024
191339,C+,107.0,3039.0,B,APPLEB(C/B),APPLEB(C<C),118.0,2022.0,2021.0,2.0,,C+,APPLEB(C),105.0,2684.0,B,APPLEB(C/B),117.0,2019.0,2018.0,3.0,2024
191343,D-,70.0,1988.0,D,APPLEB(D/D),APPLEB(D<F),77.0,2023.0,2021.0,2.0,,F,APPLEB(F),59.0,1508.0,F,APPLEB(F/F),66.0,2020.0,2017.0,4.0,2024
191338,C+,105.0,2982.0,B-,APPLEB(C/B),APPLEB(C<C),114.0,2023.0,2022.0,3.0,,C+,APPLEB(C),105.0,2684.0,B,APPLEB(C/B),115.0,2019.0,2018.0,5.0,2024
191348,C,100.0,2840.0,C+,APPLEB(C/C),APPLEB(C<C),106.0,2024.0,2022.0,3.0,,C+,APPLEB(C),108.0,2760.0,B,APPLEB(C/B),119.0,2019.0,2017.0,4.0,2024
282286,D+,88.0,2499.0,C,APPLEB(D/C),APPLEB(D<D),95.0,2023.0,2022.0,3.0,,D,APPLEB(D),81.0,2070.0,C-,APPLEB(D/C),90.0,2020.0,2018.0,4.0,2024
301723,D-,71.0,2016.0,D,APPLEB(D/D),APPLEB(D<D),77.0,2022.0,,1.0,,D-,APPLEB(D),74.0,1891.0,D,APPLEB(D/D),82.0,2019.0,2017.0,4.0,2024
191346,B,122.0,3465.0,B+,APPLEB(B/B),APPLEB(B<C),128.0,2024.0,2023.0,3.0,,C+,APPLEB(C),105.0,2684.0,B,APPLEB(C/B),116.0,2019.0,2018.0,4.0,2024
472204,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
461214,C,104.0,1412.0,C-,ARBY(C/C),ARBY(C<B),93.0,2022.0,2021.0,3.0,,B,ARBY(B),124.0,1453.0,B,ARBY(B/B),122.0,2020.0,2019.0,2.0,2024
474981,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
461215,C+,107.0,1453.0,C+,ARBY(C/C),ARBY(C<B),105.0,2024.0,2023.0,3.0,,B,ARBY(B),119.0,1395.0,B,ARBY(B/B),121.0,2019.0,,1.0,2024
465767,A+,174.0,2363.0,A+,ARBY(A/A),ARBY(A<-),167.0,2022.0,,1.0,,,ARBY,,,,ARBY,,2020.0,,1.0,2024
488585,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
478247,D-,74.0,1005.0,F,ARBY(D/F),ARBY(D<-),64.0,2024.0,2023.0,3.0,,,ARBY,,,,ARBY,,,,,2024
308164,A+,148.0,2010.0,A,ARBY(A/A),ARBY(A<A),136.0,2023.0,2021.0,2.0,,A+,ARBY(A),152.0,1781.0,A,ARBY(A/A),137.0,2019.0,2017.0,3.0,2024
288101,C,98.0,1331.0,C,ARBY(C/C),ARBY(C<C),95.0,2023.0,,1.0,,C,ARBY(C),98.0,1149.0,D,ARBY(C/D),79.0,2017.0,,1.0,2024
295965,C,103.0,1399.0,C,ARBY(C/C),ARBY(C<B),97.0,2023.0,2021.0,2.0,,B-,ARBY(B),112.0,1313.0,B-,ARBY(B/B),114.0,2019.0,2015.0,2.0,2024
362348,A+,145.0,1969.0,A,ARBY(A/A),ARBY(A<-),140.0,2024.0,,1.0,,,ARBY,,,,ARBY,,,,,2024
350009,D,76.0,1032.0,D,ARBY(D/D),ARBY(D<D),76.0,2024.0,2021.0,2.0,,D-,ARBY(D),70.0,820.0,D-,ARBY(D/D),72.0,2020.0,,1.0,2024
333605,C,96.0,1304.0,C,ARBY(C/C),ARBY(C<C),96.0,2023.0,2022.0,3.0,,C,ARBY(C),97.0,1137.0,D+,ARBY(C/D),89.0,2020.0,2018.0,4.0,2024
365301,,,,,ARBY,ARBY,,,,,,C-,ARBY(C),90.0,1055.0,D,ARBY(C/D),84.0,2016.0,,1.0,2024
351812,C,97.0,1317.0,C-,ARBY(C/C),ARBY(C<B),91.0,2023.0,2021.0,2.0,,B-,ARBY(B),111.0,1301.0,C,ARBY(B/C),101.0,2020.0,2018.0,3.0,2024
337740,D-,70.0,951.0,F,ARBY(D/F),ARBY(D<C),68.0,2024.0,,1.0,,C-,ARBY(C),91.0,1067.0,C-,ARBY(C/C),91.0,2018.0,2017.0,3.0,2024
234551,F,64.0,869.0,F,ARBY(F/F),ARBY(F<F),64.0,2024.0,2023.0,4.0,,F,ARBY(F),61.0,715.0,F,ARBY(F/F),62.0,2020.0,2017.0,3.0,2024
201343,C,97.0,1317.0,C-,ARBY(C/C),ARBY(C<C),90.0,2024.0,2022.0,3.0,,C,ARBY(C),95.0,1113.0,D+,ARBY(C/D),87.0,2019.0,2017.0,4.0,2024
211198,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
234550,C,96.0,1304.0,C-,ARBY(C/C),ARBY(C<C),94.0,2024.0,2022.0,2.0,,C,ARBY(C),96.0,1125.0,C,ARBY(C/C),96.0,2018.0,2017.0,4.0,2024
51355,C,101.0,1372.0,C,ARBY(C/C),ARBY(C<B),104.0,2022.0,2021.0,2.0,,B,ARBY(B),119.0,1395.0,B,ARBY(B/B),121.0,2019.0,,1.0,2024
52931,B-,112.0,1521.0,C,ARBY(B/C),ARBY(B<B),101.0,2023.0,2022.0,3.0,,B,ARBY(B),121.0,1418.0,B+,ARBY(B/B),125.0,2020.0,2018.0,3.0,2024
52923,D,84.0,1141.0,C-,ARBY(D/C),ARBY(D<D),90.0,2022.0,2021.0,2.0,,D+,ARBY(D),86.0,1008.0,D+,ARBY(D/D),89.0,2019.0,2017.0,4.0,2024
51361,C-,94.0,1277.0,C,ARBY(C/C),ARBY(C<C),97.0,2022.0,2021.0,2.0,,C-,ARBY(C),93.0,1090.0,C-,ARBY(C/C),93.0,2020.0,2019.0,4.0,2024
51360,F,69.0,937.0,D-,ARBY(F/D),ARBY(F<D),71.0,2022.0,,1.0,,D,ARBY(D),79.0,926.0,D,ARBY(D/D),79.0,2018.0,2015.0,2.0,2024
51356,C,103.0,1399.0,C+,ARBY(C/C),ARBY(C<C),105.0,2022.0,,1.0,,C,ARBY(C),103.0,1207.0,C,ARBY(C/C),104.0,2019.0,2015.0,2.0,2024
51350,A,139.0,1888.0,A,ARBY(A/A),ARBY(A<A),139.0,2023.0,2021.0,3.0,,A+,ARBY(A),145.0,1699.0,A+,ARBY(A/A),145.0,2020.0,2019.0,5.0,2024
123843,A-,132.0,1793.0,B,ARBY(A/B),ARBY(A<A),120.0,2023.0,2021.0,2.0,,A+,ARBY(A),145.0,1699.0,B+,ARBY(A/B),129.0,2019.0,2017.0,2.0,2024
123842,C,104.0,1412.0,C+,ARBY(C/C),ARBY(C<C),107.0,2023.0,2021.0,2.0,,C+,ARBY(C),108.0,1266.0,C,ARBY(C/C),104.0,2020.0,2018.0,2.0,2024
123845,B,124.0,1684.0,B+,ARBY(B/B),ARBY(B<C),126.0,2024.0,2022.0,4.0,,C+,ARBY(C),108.0,1266.0,C,ARBY(C/C),100.0,2020.0,2019.0,4.0,2024
51357,A+,175.0,2377.0,A+,ARBY(A/A),ARBY(A<A),176.0,2024.0,2021.0,2.0,,A,ARBY(A),140.0,1641.0,A,ARBY(A/A),140.0,2020.0,2017.0,3.0,2024
275764,C,101.0,1372.0,C-,ARBY(C/C),ARBY(C<C),92.0,2023.0,2021.0,2.0,,C-,ARBY(C),93.0,1090.0,D+,ARBY(C/D),85.0,2019.0,2018.0,4.0,2024
123851,D+,88.0,1195.0,D+,ARBY(D/D),ARBY(D<D),86.0,2024.0,2022.0,4.0,,D,ARBY(D),82.0,961.0,D,ARBY(D/D),75.0,2019.0,2018.0,5.0,2024
51352,B,122.0,1657.0,B,ARBY(B/B),ARBY(B<B),122.0,2024.0,2021.0,2.0,,B,ARBY(B),117.0,1371.0,B,ARBY(B/B),118.0,2020.0,2016.0,2.0,2024
51354,C+,108.0,1467.0,B-,ARBY(C/B),ARBY(C<B),110.0,2022.0,,1.0,,B,ARBY(B),117.0,1371.0,B,ARBY(B/B),117.0,2019.0,2016.0,2.0,2024
450117,F,68.0,923.0,F,ARBY(F/F),ARBY(F<F),68.0,2023.0,2021.0,2.0,,F,ARBY(F),66.0,774.0,F,ARBY(F/F),67.0,2020.0,2018.0,2.0,2024
450118,B+,128.0,1738.0,B+,ARBY(B/B),ARBY(B<A),126.0,2023.0,,1.0,,A-,ARBY(A),130.0,1524.0,A-,ARBY(A/A),130.0,2018.0,,1.0,2024
474918,B,118.0,1602.0,B,ARBY(B/B),ARBY(B<-),115.0,2024.0,2023.0,3.0,,,ARBY,,,,ARBY,,,,,2024
450111,F,65.0,883.0,F,ARBY(F/F),ARBY(F<F),65.0,2023.0,2021.0,3.0,,F,ARBY(F),66.0,774.0,F,ARBY(F/F),67.0,2020.0,2019.0,3.0,2024
450116,D,80.0,1086.0,D,ARBY(D/D),ARBY(D<D),81.0,2023.0,2021.0,2.0,,D,ARBY(D),80.0,938.0,D,ARBY(D/D),82.0,2020.0,2018.0,2.0,2024
477242,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
461216,D+,86.0,1168.0,D+,ARBY(D/D),ARBY(D<C),86.0,2024.0,2021.0,2.0,,C,ARBY(C),99.0,1160.0,C,ARBY(C/C),101.0,2020.0,,1.0,2024
456366,C+,105.0,1426.0,C,ARBY(C/C),ARBY(C<-),101.0,2023.0,,1.0,,,ARBY,,,,ARBY,,,,,2024
494122,,,,,ARBY,ARBY,,,,,,,ARBY,,,,ARBY,,,,,2024
302600,B-,110.0,1494.0,B-,ARBY(B/B),ARBY(B<B),112.0,2022.0,,1.0,,B,ARBY(B),120.0,1406.0,B,ARBY(B/B),120.0,2019.0,2016.0,2.0,2024
282598,C-,92.0,1249.0,D+,ARBY(C/D),ARBY(C<D),89.0,2023.0,,1.0,,D+,ARBY(D),89.0,1043.0,D+,ARBY(D/D),89.0,2018.0,2017.0,4.0,2024
308167,A,138.0,1874.0,A,ARBY(A/A),ARBY(A<A),135.0,2024.0,2022.0,3.0,,A,ARBY(A),138.0,1617.0,A,ARBY(A/A),139.0,2019.0,,1.0,2024
313314,,,,,ARBY,ARBY,,,,,,A+,ARBY(A),187.0,2192.0,A+,ARBY(A/A),187.0,2018.0,2017.0,3.0,2024
302319,D+,86.0,1168.0,D,ARBY(D/D),ARBY(D<C),83.0,2024.0,,1.0,,C,ARBY(C),97.0,1137.0,C,ARBY(C/C),96.0,2018.0,2016.0,3.0,2024
277572,B,120.0,1630.0,B,ARBY(B/B),ARBY(B<A),120.0,2024.0,2022.0,4.0,,A,ARBY(A),140.0,1641.0,A,ARBY(A/A),142.0,2020.0,2019.0,2.0,2024
293111,C,102.0,1385.0,C+,ARBY(C/C),ARBY(C<C),105.0,2022.0,2021.0,2.0,,C,ARBY(C),100.0,1172.0,C,ARBY(C/C),100.0,2020.0,2017.0,3.0,2024
342962,A+,233.0,3164.0,A+,ARBY(A/A),ARBY(A<A),228.0,2023.0,,1.0,,A+,ARBY(A),282.0,3305.0,A+,ARBY(A/A),281.0,2018.0,2016.0,2.0,2024
327062,D,83.0,1127.0,D,ARBY(D/D),ARBY(D<C),83.0,2024.0,2022.0,2.0,,C-,ARBY(C),91.0,1067.0,C-,ARBY(C/C),91.0,2018.0,2015.0,2.0,2024
342377,D,81.0,1100.0,D,ARBY(D/D),ARBY(D<D),80.0,2023.0,,1.0,,D,ARBY(D),84.0,984.0,D,ARBY(D/D),84.0,2018.0,2016.0,2.0,2024
342785,F,69.0,937.0,D-,ARBY(F/D),ARBY(F<F),72.0,2022.0,2021.0,2.0,,F,ARBY(F),63.0,738.0,F,ARBY(F/F),64.0,2020.0,2019.0,3.0,2024
337741,B,118.0,1602.0,B,ARBY(B/B),ARBY(B<A),117.0,2023.0,2021.0,2.0,,A,ARBY(A),137.0,1606.0,A,ARBY(A/A),137.0,2019.0,2018.0,4.0,2024
356955,D-,74.0,1005.0,D,ARBY(D/D),ARBY(D<D),76.0,2022.0,,1.0,,D,ARBY(D),76.0,891.0,D,ARBY(D/D),76.0,2019.0,2017.0,4.0,2024
350790,D+,88.0,1195.0,C-,ARBY(D/C),ARBY(D<-),91.0,2022.0,,1.0,,,ARBY,,,,ARBY,,,,,2024
328095,B,124.0,1684.0,B,ARBY(B/B),ARBY(B<B),119.0,2024.0,2023.0,2.0,,B,ARBY(B),117.0,1371.0,B,ARBY(B/B),117.0,2018.0,2017.0,3.0,2024
362130,C-,93.0,1263.0,C-,ARBY(C/C),ARBY(C<C),93.0,2024.0,2023.0,3.0,,C,ARBY(C),101.0,1184.0,C,ARBY(C/C),101.0,2020.0,2017.0,3.0,2024
345545,D+,88.0,1195.0,C-,ARBY(D/C),ARBY(D<D),92.0,2022.0,2021.0,2.0,,D,ARBY(D),79.0,926.0,D,ARBY(D/D),79.0,2020.0,2019.0,3.0,2024
211207,D,80.0,1086.0,D,ARBY(D/D),ARBY(D<D),80.0,2023.0,2022.0,2.0,,D+,ARBY(D),87.0,1020.0,D+,ARBY(D/D),87.0,2018.0,2017.0,4.0,2024
234571,A+,180.0,2444.0,A+,ARBY(A/A),ARBY(A<A),182.0,2023.0,2021.0,2.0,,A,ARBY(A),140.0,1641.0,A,ARBY(A/A),141.0,2020.0,2015.0,2.0,2024
228589,C,104.0,1412.0,C+,ARBY(C/C),ARBY(C<B),106.0,2022.0,,1.0,,B-,ARBY(B),110.0,1289.0,B-,ARBY(B/B),111.0,2019.0,2016.0,2.0,2024
